"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
19,"MTD.ours3",0.16,6.2,40.4,37.64,15.6,0
19,"OBD.ours3",7.8,49.62,27.44,11.72,3.34,
19,"MTD.titeet",0,17.2,44.9,28.3,9.6,0.1
19,"OBD.titeet",16.7,41.9,24.8,12.5,4,
19,"MTD.tite12",0,5.6,30.7,35.6,27.8,0.34
19,"OBD.tite12",12.3,43.8,24.2,14.4,4.9,
19,"MTD.bfet",,,,,,0.1
19,"OBD.bfet",8.2,50.1,28.2,11,2.3,
22,"MTD.ours0",3.04,35.54,44.1,14.44,2.84,0.04
22,"OBD.ours0",16.64,59.46,19.12,3.4,0.52,
22,"MTD.bf",2.48,34.28,45.52,14.58,3.14,0
22,"OBD.bf",14.36,58.44,21.34,4.42,0.84,
22,"MTD.ours1",3.08,33.5,44.96,15.06,3.36,0.04
22,"OBD.ours1",17.36,57.92,19.58,3.52,0.7,
22,"MTD.ours2",3.16,34.3,44.76,14.48,3.24,0.06
22,"OBD.ours2",17.08,57.7,20.16,3.46,0.6,
22,"MTD.ours3",2.36,34.46,44.94,14.62,3.62,0
22,"OBD.ours3",16.52,55.68,21.12,4.72,0.94,
22,"MTD.titeet",1.8,41.4,41,12.9,2.9,1.7
22,"OBD.titeet",21,47.1,20.6,7.7,1.9,
22,"MTD.tite12",0.8,21.1,36.9,26.1,13.5,1.58
22,"OBD.tite12",19.8,44.9,22.7,8.4,2.7,
22,"MTD.bfet",,,,,,1.1
22,"OBD.bfet",18.2,55.9,20.2,4,0.5,
18,"MTD.ours0",4.82,16.54,34.94,30.94,12.6,0.16
18,"OBD.ours0",44.54,30,17.26,6.76,1.22,
18,"MTD.bf",4.3,15.62,34.28,32.82,12.86,0.12
18,"OBD.bf",41.46,28.88,18.82,8.3,2.36,
18,"MTD.ours1",4.6,16.78,32.96,31.86,13.7,0.1
18,"OBD.ours1",45.34,28.6,16.96,7.42,1.56,
18,"MTD.ours2",4.78,16.46,34.02,31.2,13.48,0.06
18,"OBD.ours2",43.02,30.24,17.22,7.88,1.56,
18,"MTD.ours3",4.24,16.42,33.7,32.38,13.16,0.1
18,"OBD.ours3",42.32,28.24,17.8,9.12,2.34,
18,"MTD.titeet",16.5,29.7,31.2,17.5,5,0.1
18,"OBD.titeet",44.8,27.5,17.1,8.3,2.2,
18,"MTD.tite12",1.3,15.5,34.3,26.8,21.8,0.38
18,"OBD.tite12",38.3,27,19.2,11.4,3.7,
18,"MTD.bfet",,,,,,0.3
18,"OBD.bfet",47.6,27.7,16.3,6.5,1.7,
13,"MTD.ours0",0.16,2.44,23.06,55.22,19.12,0
