"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
50,"ours1.total",8.98,11.98,11.57,8.78,4.75,46.06,-1,5.78,27.65
50,"ours2.s1",8.94,11.97,11.47,8.18,4.41,44.97,-1,0,27.32
50,"ours2.s2",0,0.01,0.18,0.45,0.19,0.83,-1,0,0.74
50,"ours2.total",8.94,11.98,11.65,8.63,4.6,45.8,-1,5.7,28.06
50,"ours3.s1",8.87,12.06,11.46,8.39,4.55,45.33,-1,0,27.37
50,"ours3.s2",0,0,0,0,0,0,-1,0,0
50,"ours3.total",8.87,12.06,11.46,8.39,4.55,45.33,-1,5.76,27.37
50,"titeet",5.2,11.4,7.4,4.1,1.9,30,-1,3.5,23.67
50,"tite12",4.1,6.7,6,5.2,3.4,25.4,-1,3.4,22.06
50,"bfet",7.09,10.99,10.76,7.89,4.59,41.32,-1,5.17,23.1
8,"ours0.s1",11.95,12.33,10.67,6.27,2.13,43.35,2.13,0,32.05
8,"ours0.s2",0,0.01,0.18,0.39,0.17,0.75,0.17,0,0.67
8,"ours0.total",11.95,12.34,10.86,6.65,2.3,44.11,2.3,6.63,32.72
8,"bf.s1",11.32,12.82,11.18,6.63,2.18,44.12,2.18,0,32.23
8,"bf.s2",0,0,0,0,0,0,0,0,0
8,"bf.total",11.32,12.82,11.18,6.63,2.18,44.12,2.18,6.79,32.23
8,"ours1.s1",11.89,12.15,10.54,6.31,2.18,43.06,2.18,0,25.74
8,"ours1.s2",0.01,0.03,0.27,0.53,0.24,1.07,0.24,0,0.88
8,"ours1.total",11.89,12.18,10.81,6.84,2.42,44.13,2.42,6.62,26.62
8,"ours2.s1",11.93,12.19,10.58,6.38,2.24,43.31,2.24,0,26.24
8,"ours2.s2",0,0.03,0.27,0.48,0.21,0.99,0.21,0,0.85
8,"ours2.total",11.93,12.22,10.85,6.86,2.45,44.31,2.45,6.64,27.09
8,"ours3.s1",11.83,12.23,10.59,6.29,2.33,43.27,2.33,0,26.22
8,"ours3.s2",0,0,0,0,0,0,0,0,0
8,"ours3.total",11.83,12.23,10.59,6.29,2.33,43.27,2.33,6.66,26.22
8,"titeet",12.3,8.9,5.5,2.5,0.7,29.9,0.7,4,21.97
8,"tite12",6.6,6.1,4.9,3.9,2.1,23.6,2.1,3.8,20.01
8,"bfet",10.71,11.44,9.58,5.91,2.39,40.03,2.39,5.96,21.4
10,"ours0.s1",8.95,12.14,11.62,8.56,4.43,45.7,-1,0,33.43
10,"ours0.s2",0,0.01,0.15,0.49,0.41,1.06,-1,0,0.93
10,"ours0.total",8.95,12.15,11.77,9.05,4.84,46.76,-1,5.78,34.37
10,"bf.s1",7.88,12.2,12.07,8.93,4.43,45.5,-1,0,33.42
10,"bf.s2",0,0,0,0,0,0,-1,0,0
